asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
^DJI,0,2017-06-05,2018-10-12,2018-10-22,2020-03-18,284,289,0.4948,0.08,0.7889,0.0761,0.1349
^DJI,1,2017-06-05,2020-03-11,2020-03-19,2021-11-24,573,289,0.519,0.2685,0.6609,0.0865,0.2526
^DJI,2,2017-06-05,2021-11-17,2021-11-26,2023-05-24,862,289,0.5398,0.0712,0.91,0.0138,0.0761
^DJI,3,2017-06-05,2023-05-16,2023-05-25,2024-10-08,1151,289,0.4152,0.1045,0.4498,0.0138,0.5363
^DJI,4,2017-06-05,2024-10-01,2024-10-09,2026-05-08,1440,289,0.4083,-0.0676,0.4948,0.0173,0.4879
