asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
IWM,0,2017-06-05,2018-11-15,2018-11-26,2020-05-26,283,288,0.4549,0.0813,0.7431,0.1111,0.1458
IWM,1,2017-06-05,2020-05-18,2020-05-27,2021-12-01,571,288,0.4132,-0.092,0.4062,0.1597,0.434
IWM,2,2017-06-05,2021-11-23,2021-12-02,2023-06-02,859,288,0.5139,0.0348,0.7882,0.0104,0.2014
IWM,3,2017-06-05,2023-05-25,2023-06-05,2024-11-18,1147,288,0.4653,0.1296,0.3194,0.0556,0.625
IWM,4,2017-06-05,2024-11-08,2024-11-19,2026-05-13,1435,288,0.6181,0.3585,0.3542,0.0139,0.6319
