asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
CL,0,2017-06-05,2018-10-11,2018-10-19,2020-05-27,280,285,0.4526,-0.0204,0.8105,0.0491,0.1404
CL,1,2017-06-05,2020-04-13,2020-05-28,2021-11-30,565,285,0.3579,0.0316,0.3825,0.2842,0.3333
CL,2,2017-06-05,2021-11-18,2021-12-01,2023-04-24,850,285,0.4,-0.0059,0.3789,0.214,0.407
CL,3,2017-06-05,2023-04-17,2023-04-25,2024-09-06,1135,285,0.5053,0.0248,0.3754,0.0491,0.5754
CL,4,2017-06-05,2024-08-29,2024-09-10,2026-05-08,1420,285,0.407,0.292,0.2105,0.186,0.6035
