asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
^VIX,0,2017-06-21,2018-11-21,2018-11-30,2020-06-03,239,244,0.459,0.2294,0.6393,0.2541,0.1066
^VIX,1,2017-06-21,2020-05-21,2020-06-04,2022-01-07,483,244,0.6311,0.6024,0.6025,0.0779,0.3197
^VIX,2,2017-06-21,2021-12-06,2022-01-10,2023-04-24,727,244,0.4754,0.1329,0.5902,0.1189,0.291
^VIX,3,2017-06-21,2023-04-17,2023-04-25,2024-08-30,971,244,0.5656,0.4184,0.6066,0.1967,0.1967
^VIX,4,2017-06-21,2024-08-20,2024-09-06,2026-04-06,1215,244,0.5738,0.5543,0.5369,0.2172,0.2459
